N , Gamma
1 ,  -0.0156632
2 ,  -0.0111172
3 ,  -0.00724284
4 ,  -0.00463314
5 ,  -0.00299176
6 ,  -0.00197033
7 ,  -0.00130618
8 ,  -0.00081612
9 ,  -0.000369299
10 ,  0.000111478
11 ,  0.000628171
12 ,  0.0011094
13 ,  0.00145054
14 ,  0.00156792
15 ,  0.00144105
16 ,  0.00112136
17 ,  0.000704437
18 ,  0.000288355
19 ,  -5.74561e-05
20 ,  -0.000303146
21 ,  -0.000450862
22 ,  -0.00051857
23 ,  -0.000526506
24 ,  -0.000490843
25 ,  -0.000422967
26 ,  -0.000331313
27 ,  -0.000223653
28 ,  -0.000108745
29 ,  3.21866e-06
30 ,  0.000101446
31 ,  0.000176315
32 ,  0.000221341
33 ,  0.000234551
34 ,  0.000218706
35 ,  0.000180368
36 ,  0.000128186
37 ,  7.10427e-05
38 ,  1.65816e-05
39 ,  -2.96187e-05
40 ,  -6.42355e-05
41 ,  -8.59631e-05
42 ,  -9.50769e-05
43 ,  -9.29801e-05
44 ,  -8.18177e-05
45 ,  -6.41684e-05
46 ,  -4.27905e-05
47 ,  -2.0391e-05
48 ,  5.92921e-07
49 ,  1.81918e-05
50 ,  3.10554e-05
