N , Gamma
1 ,  0.00193
2 ,  0.00027523
3 ,  -0.000107713
4 ,  -0.000124989
5 ,  -0.000155211
6 ,  -0.000341324
7 ,  -0.000705469
8 ,  -0.00116026
9 ,  -0.00154189
10 ,  -0.00169045
11 ,  -0.00153716
12 ,  -0.00114107
13 ,  -0.000641371
14 ,  -0.000175202
15 ,  0.000176211
16 ,  0.000395765
17 ,  0.00050619
18 ,  0.000540446
19 ,  0.000525184
20 ,  0.00047711
21 ,  0.000405312
22 ,  0.000314946
23 ,  0.000210555
24 ,  9.84025e-05
25 ,  -1.25637e-05
26 ,  -0.0001114
27 ,  -0.000187298
28 ,  -0.000232332
29 ,  -0.000243634
30 ,  -0.000224043
31 ,  -0.000181032
32 ,  -0.000124475
33 ,  -6.42359e-05
34 ,  -8.38304e-06
35 ,  3.76299e-05
36 ,  7.09492e-05
37 ,  9.08295e-05
38 ,  9.8014e-05
39 ,  9.4201e-05
40 ,  8.1663e-05
41 ,  6.299e-05
42 ,  4.0898e-05
43 ,  1.80472e-05
44 ,  -3.15185e-06
45 ,  -2.0737e-05
46 ,  -3.33628e-05
47 ,  -4.03998e-05
48 ,  -4.19366e-05
49 ,  -3.86811e-05
50 ,  -3.17835e-05
