N , Gamma
1 ,  0.0170177
2 ,  0.0140349
3 ,  0.0193194
4 ,  0.0242353
5 ,  0.0274274
6 ,  0.0293989
7 ,  0.0306165
8 ,  0.0313845
9 ,  0.0318807
10 ,  0.0322041
11 ,  0.0324058
12 ,  0.0325051
13 ,  0.0324988
14 ,  0.0323733
15 ,  0.0321242
16 ,  0.0317729
17 ,  0.0313677
18 ,  0.03097
19 ,  0.0306374
20 ,  0.0304095
21 ,  0.0302991
22 ,  0.0302937
23 ,  0.0303656
24 ,  0.030485
25 ,  0.0306267
26 ,  0.0307722
27 ,  0.0309088
28 ,  0.0310275
29 ,  0.0311218
30 ,  0.0311878
31 ,  0.0312232
32 ,  0.0312285
33 ,  0.0312067
34 ,  0.0311632
35 ,  0.0311056
36 ,  0.0310422
37 ,  0.0309813
38 ,  0.0309294
39 ,  0.0308909
40 ,  0.030868
41 ,  0.0308604
42 ,  0.030866
43 ,  0.0308819
44 ,  0.0309044
45 ,  0.0309301
46 ,  0.0309558
47 ,  0.0309788
48 ,  0.0309974
49 ,  0.0310102
50 ,  0.0310171
