N , J(N)
0 , 0.00214644
0.1 , 0.00224242
0.2 , -0.000142742
0.3 , 0.00238101
0.4 , 0.0024984
0.5 , 0.00261335
0.6 , 0.00273131
0.7 , 0.00285275
0.8 , 0.00297736
0.9 , 0.00310466
1 , 0.00323421
1.1 , 0.00336578
1.2 , 0.00349949
1.3 , 0.00363606
1.4 , 0.00377718
1.5 , 0.00392628
1.6 , 0.00408996
1.7 , 0.00428126
1.8 , 0.004528
1.9 , 0.00489901
2 , 0.005617
2.1 , 0.0080082
2.2 , -0.0145172
2.3 , 0.000819217
2.4 , 0.0021373
2.5 , 0.00260816
2.6 , 0.00282953
2.7 , 0.00293869
2.8 , 0.00298454
2.9 , 0.00298913
3 , 0.00296409
3.1 , 0.00291642
3.2 , 0.00285072
3.3 , 0.00277035
3.4 , 0.00267794
3.5 , 0.00257567
3.6 , 0.00246543
3.7 , 0.00234893
3.8 , 0.00222773
3.9 , 0.00210326
4 , 0.00197687
4.1 , 0.00184979
4.2 , 0.00172317
4.3 , 0.00159807
4.4 , 0.00147542
4.5 , 0.00135608
4.6 , 0.00124078
4.7 , 0.00113014
4.8 , 0.0010247
4.9 , 0.000924851
5 , 0.000830893
5.1 , 0.000743016
5.2 , 0.000661307
5.3 , 0.000585755
5.4 , 0.000516255
5.5 , 0.000452618
5.6 , 0.000394581
5.7 , 0.00034181
5.8 , 0.000293915
5.9 , 0.000250459
6 , 0.000210964
6.1 , 0.000174929
6.2 , 0.000141834
6.3 , 0.00011115
6.4 , 8.23538e-05
6.5 , 5.49314e-05
6.6 , 2.83894e-05
6.7 , 2.26138e-06
6.8 , -2.3885e-05
6.9 , -5.04425e-05
7 , -7.7759e-05
7.1 , -0.000106134
7.2 , -0.000135817
7.3 , -0.000167002
7.4 , -0.000199831
7.5 , -0.000234393
7.6 , -0.000270722
7.7 , -0.000308802
7.8 , -0.000348568
7.9 , -0.000389911
8 , -0.000432679
8.1 , -0.000476684
8.2 , -0.000521704
8.3 , -0.000567489
8.4 , -0.000613768
8.5 , -0.000660252
8.6 , -0.000706637
8.7 , -0.000752616
8.8 , -0.000797877
8.9 , -0.000842111
9 , -0.000885018
9.1 , -0.000926306
9.2 , -0.000965702
9.3 , -0.00100295
9.4 , -0.00103781
9.5 , -0.00107007
9.6 , -0.00109955
9.7 , -0.00112609
9.8 , -0.00114955
9.9 , -0.00116984
10 , -0.00118689
10.1 , -0.00120064
10.2 , -0.00121109
10.3 , -0.00121825
10.4 , -0.00122215
10.5 , -0.00122285
10.6 , -0.00122043
10.7 , -0.00121501
10.8 , -0.0012067
10.9 , -0.00119564
11 , -0.00118199
11.1 , -0.00116589
11.2 , -0.00114753
11.3 , -0.00112709
11.4 , -0.00110474
11.5 , -0.00108067
11.6 , -0.00105506
11.7 , -0.0010281
11.8 , -0.000999962
11.9 , -0.000970821
12 , -0.000940844
12.1 , -0.00091019
12.2 , -0.000879011
12.3 , -0.000847447
12.4 , -0.00081563
12.5 , -0.000783681
12.6 , -0.00075171
12.7 , -0.000719816
12.8 , -0.000688087
12.9 , -0.000656603
13 , -0.000625431
13.1 , -0.000594629
13.2 , -0.000564246
13.3 , -0.000534323
13.4 , -0.000504892
13.5 , -0.000475978
13.6 , -0.0004476
13.7 , -0.00041977
13.8 , -0.000392498
13.9 , -0.000365785
14 , -0.000339633
14.1 , -0.000314038
14.2 , -0.000288996
14.3 , -0.000264499
14.4 , -0.000240539
14.5 , -0.000217109
14.6 , -0.000194199
14.7 , -0.000171802
14.8 , -0.000149909
14.9 , -0.000128514
15 , -0.000107609
15.1 , -8.7191e-05
15.2 , -6.72553e-05
15.3 , -4.77995e-05
15.4 , -2.8822e-05
15.5 , -1.03228e-05
15.6 , 7.69731e-06
15.7 , 2.52366e-05
15.8 , 4.22923e-05
15.9 , 5.88613e-05
16 , 7.49397e-05
16.1 , 9.05233e-05
16.2 , 0.000105608
16.3 , 0.00012019
16.4 , 0.000134264
16.5 , 0.000147828
16.6 , 0.000160877
16.7 , 0.000173411
16.8 , 0.000185426
16.9 , 0.000196923
17 , 0.000207902
17.1 , 0.000218364
17.2 , 0.000228311
17.3 , 0.000237747
17.4 , 0.000246677
17.5 , 0.000255105
17.6 , 0.00026304
17.7 , 0.000270489
17.8 , 0.00027746
17.9 , 0.000283964
18 , 0.00029001
18.1 , 0.00029561
18.2 , 0.000300775
18.3 , 0.000305517
18.4 , 0.00030985
18.5 , 0.000313785
18.6 , 0.000317335
18.7 , 0.000320514
18.8 , 0.000323334
18.9 , 0.000325808
19 , 0.000327948
19.1 , 0.000329766
19.2 , 0.000331273
19.3 , 0.000332481
19.4 , 0.000333401
19.5 , 0.000334042
19.6 , 0.000334413
19.7 , 0.000334523
19.8 , 0.000334381
19.9 , 0.000333993
20 , 0.000333367
20.1 , 0.000332508
20.2 , 0.000331422
20.3 , 0.000330114
20.4 , 0.000328589
20.5 , 0.000326849
20.6 , 0.000324899
20.7 , 0.000322742
20.8 , 0.00032038
20.9 , 0.000317816
21 , 0.000315052
21.1 , 0.00031209
21.2 , 0.000308932
21.3 , 0.00030558
21.4 , 0.000302035
21.5 , 0.000298299
21.6 , 0.000294374
21.7 , 0.000290263
21.8 , 0.000285967
21.9 , 0.000281489
22 , 0.000276832
22.1 , 0.000271997
22.2 , 0.000266989
22.3 , 0.000261811
22.4 , 0.000256466
22.5 , 0.000250959
22.6 , 0.000245293
22.7 , 0.000239474
22.8 , 0.000233506
22.9 , 0.000227395
23 , 0.000221145
23.1 , 0.000214764
23.2 , 0.000208256
23.3 , 0.000201629
23.4 , 0.000194889
23.5 , 0.000188043
23.6 , 0.000181097
23.7 , 0.000174059
23.8 , 0.000166937
23.9 , 0.000159738
24 , 0.000152469
24.1 , 0.000145138
24.2 , 0.000137754
24.3 , 0.000130324
24.4 , 0.000122856
24.5 , 0.000115358
24.6 , 0.000107839
24.7 , 0.000100306
24.8 , 9.27672e-05
24.9 , 8.52311e-05
25 , 7.77057e-05
25.1 , 7.01989e-05
25.2 , 6.27186e-05
25.3 , 5.52728e-05
25.4 , 4.78693e-05
25.5 , 4.05158e-05
25.6 , 3.322e-05
25.7 , 2.59894e-05
25.8 , 1.88315e-05
25.9 , 1.17536e-05
26 , 4.76286e-06
26.1 , -2.13365e-06
26.2 , -8.92902e-06
26.3 , -1.56165e-05
26.4 , -2.21895e-05
26.5 , -2.86415e-05
26.6 , -3.49665e-05
26.7 , -4.11582e-05
26.8 , -4.72109e-05
26.9 , -5.31189e-05
27 , -5.88768e-05
27.1 , -6.44795e-05
27.2 , -6.99219e-05
27.3 , -7.51994e-05
27.4 , -8.03074e-05
27.5 , -8.52419e-05
27.6 , -8.99989e-05
27.7 , -9.45747e-05
27.8 , -9.8966e-05
27.9 , -0.00010317
28 , -0.000107183
28.1 , -0.000111004
28.2 , -0.000114629
28.3 , -0.000118058
28.4 , -0.000121289
28.5 , -0.00012432
28.6 , -0.00012715
28.7 , -0.00012978
28.8 , -0.000132208
28.9 , -0.000134435
29 , -0.000136461
29.1 , -0.000138287
29.2 , -0.000139914
29.3 , -0.000141343
29.4 , -0.000142575
29.5 , -0.000143613
29.6 , -0.000144459
29.7 , -0.000145114
29.8 , -0.000145582
29.9 , -0.000145866
30 , -0.000145968
30.1 , -0.000145893
30.2 , -0.000145643
30.3 , -0.000145222
30.4 , -0.000144635
30.5 , -0.000143886
30.6 , -0.000142978
30.7 , -0.000141917
30.8 , -0.000140707
30.9 , -0.000139352
31 , -0.000137858
31.1 , -0.000136229
31.2 , -0.000134471
31.3 , -0.000132589
31.4 , -0.000130587
31.5 , -0.000128472
31.6 , -0.000126248
31.7 , -0.000123921
31.8 , -0.000121495
31.9 , -0.000118977
32 , -0.000116371
32.1 , -0.000113684
32.2 , -0.000110919
32.3 , -0.000108083
32.4 , -0.000105181
32.5 , -0.000102217
32.6 , -9.91974e-05
32.7 , -9.61266e-05
32.8 , -9.30097e-05
32.9 , -8.98517e-05
33 , -8.66573e-05
33.1 , -8.34313e-05
33.2 , -8.01783e-05
33.3 , -7.69028e-05
33.4 , -7.36094e-05
33.5 , -7.03024e-05
33.6 , -6.6986e-05
33.7 , -6.36644e-05
33.8 , -6.03416e-05
33.9 , -5.70214e-05
34 , -5.37078e-05
34.1 , -5.04044e-05
34.2 , -4.71148e-05
