N , J(N)
0 , -0.00107628
0.1 , -0.00113026
0.2 , -0.00106495
0.3 , -0.000937079
0.4 , -0.00077059
0.5 , -0.000578025
0.6 , -0.000367183
0.7 , -0.000143628
0.8 , 8.82407e-05
0.9 , 0.000324684
1 , 0.000562389
1.1 , 0.000798351
1.2 , 0.00102982
1.3 , 0.00125431
1.4 , 0.00146955
1.5 , 0.00167354
1.6 , 0.00186457
1.7 , 0.00204116
1.8 , 0.00220217
1.9 , 0.00234671
2 , 0.0024742
2.1 , 0.00258433
2.2 , 0.00267708
2.3 , 0.00275265
2.4 , 0.0028115
2.5 , 0.00285428
2.6 , 0.00288182
2.7 , 0.0028951
2.8 , 0.00289521
2.9 , 0.00288331
3 , 0.00286064
3.1 , 0.00282842
3.2 , 0.00278788
3.3 , 0.00274022
3.4 , 0.00268655
3.5 , 0.00262792
3.6 , 0.00256528
3.7 , 0.00249947
3.8 , 0.00243118
3.9 , 0.00236102
4 , 0.00228944
4.1 , 0.00221678
4.2 , 0.00214325
4.3 , 0.00206897
4.4 , 0.00199392
4.5 , 0.00191805
4.6 , 0.00184118
4.7 , 0.00176311
4.8 , 0.00168357
4.9 , 0.00160229
5 , 0.00151898
5.1 , 0.00143333
5.2 , 0.00134509
5.3 , 0.00125401
5.4 , 0.00115989
5.5 , 0.00106258
5.6 , 0.000962011
5.7 , 0.000858149
5.8 , 0.000751047
5.9 , 0.000640828
6 , 0.00052769
6.1 , 0.000411902
6.2 , 0.000293803
6.3 , 0.000173803
6.4 , 5.2371e-05
6.5 , -6.9965e-05
6.6 , -0.000192626
6.7 , -0.00031499
6.8 , -0.000436394
6.9 , -0.000556148
7 , -0.000673536
7.1 , -0.000787823
7.2 , -0.000898266
7.3 , -0.00100411
7.4 , -0.00110461
7.5 , -0.00119901
7.6 , -0.00128657
7.7 , -0.00136655
7.8 , -0.00143822
7.9 , -0.00150086
8 , -0.00155376
8.1 , -0.00159621
8.2 , -0.00162751
8.3 , -0.00164694
8.4 , -0.00165379
8.5 , -0.00164732
8.6 , -0.00162677
8.7 , -0.00159134
8.8 , -0.00154018
8.9 , -0.00147235
9 , -0.00138687
9.1 , -0.0012826
9.2 , -0.00115828
9.3 , -0.00101248
9.4 , -0.000843541
9.5 , -0.00064951
9.6 , -0.000428094
9.7 , -0.000176546
9.8 , 0.000108457
9.9 , 0.000430986
10 , 0.000796084
10.1 , 0.00121009
10.2 , 0.00168107
10.3 , 0.00221949
10.4 , 0.00283913
10.5 , 0.00355852
10.6 , 0.00440321
10.7 , 0.00540936
10.8 , 0.0066299
10.9 , 0.00814548
11 , 0.0100852
11.1 , 0.0126695
11.2 , 0.0163077
11.3 , 0.0218556
11.4 , 0.0314512
11.5 , 0.0523526
11.6 , 0.13511
11.7 , -0.283648
11.8 , -0.0721311
