N , J(N)
1 , 0.000773787
1.1 , 0.000629736
1.2 , 0.000508807
1.3 , 0.00040619
1.4 , 0.000319535
1.5 , 0.000247398
1.6 , 0.000188245
1.7 , 0.000140064
1.8 , 0.000100482
1.9 , 6.71722e-05
2 , 3.8274e-05
2.1 , 1.26509e-05
2.2 , -1.01171e-05
2.3 , -2.99656e-05
2.4 , -4.66866e-05
2.5 , -6.02347e-05
2.6 , -7.08864e-05
2.7 , -7.92142e-05
2.8 , -8.59141e-05
2.9 , -9.15786e-05
3 , -9.65191e-05
3.1 , -0.000100712
3.2 , -0.000103881
3.3 , -0.000105679
3.4 , -0.000105878
3.5 , -0.000104495
3.6 , -0.000101792
3.7 , -9.81604e-05
3.8 , -9.39317e-05
3.9 , -8.91978e-05
4 , -8.37213e-05
4.1 , -7.69778e-05
4.2 , -6.83266e-05
4.3 , -5.72564e-05
4.4 , -4.36222e-05
4.5 , -2.77916e-05
4.6 , -1.06464e-05
4.7 , 6.56473e-06
4.8 , 2.2481e-05
4.9 , 3.59146e-05
5 , 4.6084e-05
5.1 , 5.27327e-05
5.2 , 5.61094e-05
5.3 , 5.68301e-05
5.4 , 5.56745e-05
5.5 , 5.33828e-05
5.6 , 5.05108e-05
5.7 , 4.73731e-05
5.8 , 4.40718e-05
5.9 , 4.05833e-05
6 , 3.6858e-05
6.1 , 3.28962e-05
6.2 , 2.87768e-05
6.3 , 2.46378e-05
6.4 , 2.06282e-05
6.5 , 1.68561e-05
6.6 , 1.33582e-05
6.7 , 1.01007e-05
6.8 , 7.00936e-06
6.9 , 4.01202e-06
7 , 1.0745e-06
7.1 , -1.78467e-06
7.2 , -4.5054e-06
7.3 , -7.01569e-06
7.4 , -9.26513e-06
7.5 , -1.12468e-05
7.6 , -1.29983e-05
7.7 , -1.45816e-05
7.8 , -1.60526e-05
7.9 , -1.74334e-05
8 , -1.86998e-05
8.1 , -1.97907e-05
8.2 , -2.06335e-05
8.3 , -2.11753e-05
8.4 , -2.14041e-05
8.5 , -2.13509e-05
8.6 , -2.10691e-05
8.7 , -2.05999e-05
8.8 , -1.9937e-05
8.9 , -1.90082e-05
9 , -1.76829e-05
9.1 , -1.58081e-05
9.2 , -1.32618e-05
9.3 , -1.00077e-05
9.4 , -6.13135e-06
9.5 , -1.8447e-06
9.6 , 2.54506e-06
9.7 , 6.69404e-06
9.8 , 1.02909e-05
9.9 , 1.31165e-05
10 , 1.50784e-05
10.1 , 1.62111e-05
10.2 , 1.6646e-05
10.3 , 1.65627e-05
10.4 , 1.61385e-05
10.5 , 1.55096e-05
10.6 , 1.47554e-05
10.7 , 1.39032e-05
10.8 , 1.29502e-05
10.9 , 1.18879e-05
11 , 1.07223e-05
11.1 , 9.48043e-06
11.2 , 8.20506e-06
11.3 , 6.94095e-06
11.4 , 5.72058e-06
11.5 , 4.5558e-06
11.6 , 3.43864e-06
11.7 , 2.35021e-06
11.8 , 1.2732e-06
11.9 , 2.0212e-07
12 , -8.52893e-07
12.1 , -1.87001e-06
12.2 , -2.825e-06
12.3 , -3.70141e-06
12.4 , -4.49674e-06
12.5 , -5.22201e-06
12.6 , -5.89489e-06
12.7 , -6.52973e-06
12.8 , -7.12895e-06
12.9 , -7.67995e-06
13 , -8.1588e-06
13.1 , -8.53921e-06
13.2 , -8.8026e-06
13.3 , -8.94451e-06
13.4 , -8.97389e-06
13.5 , -8.90492e-06
13.6 , -8.74447e-06
13.7 , -8.48042e-06
13.8 , -8.07654e-06
13.9 , -7.47746e-06
14 , -6.62364e-06
14.1 , -5.47238e-06
14.2 , -4.01811e-06
14.3 , -2.30502e-06
14.4 , -4.27072e-07
14.5 , 1.48564e-06
14.6 , 3.29073e-06
14.7 , 4.86086e-06
14.8 , 6.107e-06
14.9 , 6.99119e-06
15 , 7.52614e-06
15.1 , 7.763e-06
15.2 , 7.7721e-06
15.3 , 7.62305e-06
15.4 , 7.37001e-06
15.5 , 7.04541e-06
15.6 , 6.66232e-06
15.7 , 6.2225e-06
15.8 , 5.72602e-06
15.9 , 5.17843e-06
16 , 4.59308e-06
16.1 , 3.98862e-06
16.2 , 3.38359e-06
16.3 , 2.79109e-06
16.4 , 2.21586e-06
16.5 , 1.65511e-06
16.6 , 1.10226e-06
16.7 , 5.51914e-07
16.8 , 3.70967e-09
16.9 , -5.36609e-07
17 , -1.05912e-06
17.1 , -1.55359e-06
17.2 , -2.01348e-06
17.3 , -2.43801e-06
17.4 , -2.83153e-06
17.5 , -3.20043e-06
17.6 , -3.54896e-06
17.7 , -3.87601e-06
17.8 , -4.17429e-06
17.9 , -4.43232e-06
18 , -4.63833e-06
18.1 , -4.78429e-06
18.2 , -4.86799e-06
18.3 , -4.89205e-06
18.4 , -4.85984e-06
18.5 , -4.77002e-06
18.6 , -4.61205e-06
18.7 , -4.36498e-06
18.8 , -4.00105e-06
18.9 , -3.49335e-06
19 , -2.82586e-06
19.1 , -2.00233e-06
19.2 , -1.05124e-06
19.3 , -2.44516e-08
19.4 , 1.0102e-06
19.5 , 1.98083e-06
19.6 , 2.82456e-06
19.7 , 3.49816e-06
19.8 , 3.98355e-06
19.9 , 4.28703e-06
20 , 4.4332e-06
20.1 , 4.45569e-06
20.2 , 4.38791e-06
20.3 , 4.25633e-06
20.4 , 4.07768e-06
20.5 , 3.86007e-06
20.6 , 3.60661e-06
20.7 , 3.31964e-06
20.8 , 3.00377e-06
20.9 , 2.66667e-06
21 , 2.31793e-06
21.1 , 1.96656e-06
21.2 , 1.61878e-06
21.3 , 1.27696e-06
21.4 , 9.40222e-07
21.5 , 6.06215e-07
21.6 , 2.73386e-07
21.7 , -5.74661e-08
21.8 , -3.82895e-07
21.9 , -6.97847e-07
22 , -9.97468e-07
22.1 , -1.27878e-06
22.2 , -1.54144e-06
22.3 , -1.78722e-06
22.4 , -2.01842e-06
22.5 , -2.23602e-06
22.6 , -2.43832e-06
22.7 , -2.62086e-06
22.8 , -2.77747e-06
22.9 , -2.9022e-06
23 , -2.99094e-06
23.1 , -3.04209e-06
23.2 , -3.05574e-06
23.3 , -3.0315e-06
23.4 , -2.96601e-06
23.5 , -2.85117e-06
23.6 , -2.67432e-06
23.7 , -2.42062e-06
23.8 , -2.07748e-06
23.9 , -1.63966e-06
24 , -1.1135e-06
24.1 , -5.18733e-07
24.2 , 1.1286e-07
24.3 , 7.41991e-07
24.4 , 1.32838e-06
24.5 , 1.83757e-06
24.6 , 2.24629e-06
24.7 , 2.54494e-06
24.8 , 2.73695e-06
24.9 , 2.83533e-06
25 , 2.85794e-06
25.1 , 2.82266e-06
25.2 , 2.74407e-06
25.3 , 2.63202e-06
25.4 , 2.49219e-06
25.5 , 2.32783e-06
25.6 , 2.14168e-06
25.7 , 1.9374e-06
25.8 , 1.71984e-06
25.9 , 1.49446e-06
26 , 1.26614e-06
26.1 , 1.03825e-06
26.2 , 8.12225e-07
26.3 , 5.88002e-07
26.4 , 3.64928e-07
26.5 , 1.42824e-07
26.6 , -7.73421e-08
26.7 , -2.93413e-07
26.8 , -5.0261e-07
26.9 , -7.02412e-07
27 , -8.91291e-07
27.1 , -1.06896e-06
27.2 , -1.23602e-06
27.3 , -1.39312e-06
27.4 , -1.54007e-06
27.5 , -1.67532e-06
27.6 , -1.796e-06
27.7 , -1.89851e-06
27.8 , -1.97948e-06
27.9 , -2.03644e-06
28 , -2.06794e-06
28.1 , -2.07303e-06
28.2 , -2.05008e-06
28.3 , -1.99562e-06
28.4 , -1.90381e-06
28.5 , -1.76689e-06
28.6 , -1.57687e-06
28.7 , -1.32808e-06
28.8 , -1.01992e-06
28.9 , -6.58863e-07
29 , -2.59066e-07
29.1 , 1.5886e-07
29.2 , 5.70666e-07
29.3 , 9.52246e-07
29.4 , 1.28341e-06
29.5 , 1.55068e-06
29.6 , 1.74853e-06
29.7 , 1.87883e-06
29.8 , 1.94889e-06
29.9 , 1.96879e-06
30 , 1.94881e-06
30.1 , 1.89765e-06
30.2 , 1.82162e-06
30.3 , 1.72491e-06
30.4 , 1.61044e-06
30.5 , 1.48077e-06
30.6 , 1.33874e-06
30.7 , 1.18764e-06
30.8 , 1.03082e-06
30.9 , 8.71205e-07
31 , 7.1082e-07
31.1 , 5.50698e-07
31.2 , 3.91127e-07
31.3 , 2.32149e-07
31.4 , 7.40716e-08
31.5 , -8.22344e-08
31.6 , -2.35359e-07
31.7 , -3.83668e-07
31.8 , -5.25729e-07
31.9 , -6.60642e-07
32 , -7.88098e-07
32.1 , -9.08137e-07
32.2 , -1.02072e-06
32.3 , -1.12529e-06
32.4 , -1.22056e-06
32.5 , -1.30459e-06
32.6 , -1.3751e-06
32.7 , -1.42997e-06
32.8 , -1.46746e-06
32.9 , -1.48624e-06
33 , -1.485e-06
33.1 , -1.46186e-06
33.2 , -1.41389e-06
33.3 , -1.33704e-06
33.4 , -1.2266e-06
33.5 , -1.07838e-06
33.6 , -8.90231e-07
33.7 , -6.63477e-07
33.8 , -4.03907e-07
33.9 , -1.21832e-07
34 , 1.68865e-07
34.1 , 4.52555e-07
34.2 , 7.14121e-07
34.3 , 9.41116e-07
34.4 , 1.12531e-06
34.5 , 1.26328e-06
34.6 , 1.35603e-06
34.7 , 1.40779e-06
34.8 , 1.42454e-06
34.9 , 1.41251e-06
35 , 1.37719e-06
35.1 , 1.32285e-06
35.2 , 1.25266e-06
35.3 , 1.16907e-06
35.4 , 1.07428e-06
35.5 , 9.70504e-07
35.6 , 8.60069e-07
35.7 , 7.45199e-07
35.8 , 6.27783e-07
35.9 , 5.09182e-07
36 , 3.90208e-07
36.1 , 2.71289e-07
36.2 , 1.52739e-07
36.3 , 3.50081e-08
36.4 , -8.1177e-08
36.5 , -1.94852e-07
36.6 , -3.04983e-07
36.7 , -4.10677e-07
36.8 , -5.1132e-07
36.9 , -6.06577e-07
37 , -6.96236e-07
37.1 , -7.7998e-07
37.2 , -8.57173e-07
37.3 , -9.2677e-07
37.4 , -9.87387e-07
37.5 , -1.03748e-06
37.6 , -1.07556e-06
37.7 , -1.1003e-06
37.8 , -1.11048e-06
37.9 , -1.10476e-06
38 , -1.08145e-06
38.1 , -1.03828e-06
38.2 , -9.72518e-07
38.3 , -8.8141e-07
