N , Gamma
2 , -2.49846e-07
3 , -4.2942e-08
4 , -1.23124e-09
5 , 1.20202e-08
6 , 2.69799e-08
7 , 8.53183e-08
8 , 1.17248e-07
9 , 1.01588e-07
10 , 8.37912e-08
11 , 6.96434e-08
12 , 6.01319e-08
13 , 5.83071e-08
14 , 8.42031e-08
15 , 9.95594e-08
16 , 9.21848e-08
17 , 8.26291e-08
18 , 7.40816e-08
19 , 6.76185e-08
20 , 6.59558e-08
21 , 8.36075e-08
22 , 9.3157e-08
23 , 8.81849e-08
24 , 8.18351e-08
25 , 7.55754e-08
26 , 7.09079e-08
27 , 6.95581e-08
28 , 8.32517e-08
29 , 8.99673e-08
30 , 8.60524e-08
31 , 8.10328e-08
32 , 7.66883e-08
33 , 7.2558e-08
34 , 7.16342e-08
35 , 8.31297e-08
36 , 8.7858e-08
37 , 8.4805e-08
38 , 8.08966e-08
39 , 7.68217e-08
40 , 7.40714e-08
41 , 7.31046e-08
42 , 8.29531e-08
43 , 8.63958e-08
44 , 8.3915e-08
45 , 8.06103e-08
46 , 7.68746e-08
47 , 7.46237e-08
48 , 7.45473e-08
49 , 8.2856e-08
50 , 8.56819e-08
