N , Gamma
1 ,  0.000260931
2 ,  -8.69455e-05
3 ,  -9.4499e-05
4 ,  -3.98401e-05
5 ,  6.30913e-05
6 ,  2.45597e-05
7 ,  -1.0025e-05
8 ,  -1.99255e-05
9 ,  -1.07372e-05
10 ,  1.81616e-05
11 ,  7.77153e-06
12 ,  -3.64914e-06
13 ,  -8.20217e-06
14 ,  -4.25479e-06
15 ,  8.37505e-06
16 ,  3.40271e-06
17 ,  -2.28474e-06
18 ,  -4.55592e-06
19 ,  -1.61673e-06
20 ,  4.76301e-06
21 ,  1.76722e-06
22 ,  -1.59665e-06
23 ,  -3.01107e-06
24 ,  -5.13597e-07
25 ,  3.09785e-06
26 ,  9.79806e-07
27 ,  -1.19849e-06
28 ,  -2.07526e-06
29 ,  1.05135e-07
30 ,  2.00204e-06
31 ,  5.7377e-07
32 ,  -9.50112e-07
33 ,  -1.48892e-06
34 ,  3.8274e-07
35 ,  1.33005e-06
36 ,  2.76325e-07
37 ,  -7.00299e-07
38 ,  -1.01035e-06
39 ,  5.01844e-07
40 ,  9.39074e-07
41 ,  4.83159e-08
42 ,  -6.93279e-07
43 ,  -6.95016e-07
44 ,  6.02504e-07
45 ,  7.05419e-07
46 ,  -5.91728e-08
47 ,  -6.03106e-07
48 ,  -4.94225e-07
49 ,  5.50104e-07
50 ,  5.32273e-07
